Code	NAME	FatherAccountKey	ActiveAccount	AcctCurrency	AccountType	LockManualTransaction	CashAccount	CfwRlvnt	BudgetAccount	RateExch	DistributionRuleRelevant	DistributionRule2Relevant	DistributionRule3Relevant	DistributionRule4Relevant	DistributionRule5Relevant	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
AcctCode	ACCTNAME	FatherNum	Postable	ActCurr	ActType	LocManTran	Finanse	CfwRlvnt	Budget	ExchRate	Dim1Relvnt	Dim2Relvnt	Dim3Relvnt	Dim4Relvnt	Dim5Relvnt	U_SYP_CBALC	U_CTA_PAT	U_SYP_CLCB
1421	SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS	142	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14211001	SUSCRIP. POR COBRAR A SOCIOS O ACCIONISTAS	1421	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1422	PRÉSTAMOS	142	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14221001	PRESTAMOS - ACCIONISTAS MN	1422	tYES	S/	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
14221002	PRESTAMOS - ACCIONISTAS ME	1422	tYES	US$	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
143	DIRECTORES	14	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1431	PRÉSTAMOS	143	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14311001	PRESTAMOS - DIRECTORES	1431	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1432	ADELANTO DE DIETAS	143	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14321001	ADELANTO DE DIETAS - DIRECTORES	1432	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1433	ENTREGAS A RENDIR CUENTA	143	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14331001	ENTREGAS A RENDIR CUENTA - DIRECTORES	1433	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
144	GERENTES	14	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
1441	PRÉSTAMOS	144	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
14411001	PRESTAMOS - GERENTES	1441	tYES	##	at_Other	tYES		tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	B	-	NN
1442	ADELANTO DE NUMERACIONES	144	tNO		at_Other			tNO	tNO	tYES	tNO	tNO	tNO	tNO	tNO	NI	-	NN
